Company,Role,Skills
Infosys,Qa Engineer,"api testing, jira, manual testing, postman, python, selenium"
Cognizant,Python Developer,"django, docker, fastapi"
Wipro,Node.Js Developer,"express.js, javascript, rest apis"
Cognizant,Devops Engineer,"ansible, aws, ci/cd, docker, jenkins, linux"
Accenture,Java Developer,"hibernate, java, maven, microservices, spring boot, sql"
TCS,Python Developer,"aws, django, docker, fastapi, postgresql, rest apis"
Infosys,Python Developer,"aws, django, fastapi, python, rest apis"
IBM,Power Bi Developer,"azure, data modeling, etl, power bi, sql"
Infosys,Node.Js Developer,"javascript, mongodb, node.js, rest apis, typescript"
Capgemini,Research Scientist,"python, r, statistics"
TCS,Backend Developer,"mongodb, node.js, postgresql, python, redis"
Accenture,Ios Developer,"core data, rest apis, xcode"
Wipro,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, python, siem"
Capgemini,Product Manager,"agile, product strategy, roadmapping, user research"
Accenture,Software Engineer,"algorithms, c++, system design"
Accenture,Mlops Engineer,"airflow, aws, ci/cd, kubernetes, mlflow, python"
Cognizant,Full Stack Developer,"docker, mongodb, node.js, python, react, rest apis"
Wipro,Devops Engineer,"jenkins, kubernetes, linux, terraform"
IBM,Data Scientist,"deep learning, nlp, pandas, statistics"
TCS,Software Engineer,"c++, data structures, java, python, rest apis"
Accenture,React Developer,"html/css, next.js, react, redux"
Cognizant,Machine Learning Engineer,"aws, docker, tensorflow"
Infosys,Java Developer,"hibernate, java, maven, rest apis, spring boot, sql"
TCS,Java Developer,"hibernate, maven, microservices, rest apis, spring boot, sql"
IBM,Backend Developer,"django, docker, node.js, postgresql"
Capgemini,Ai Engineer,"langchain, prompt engineering, rag, vector dbs"
Accenture,Backend Developer,"django, fastapi, mongodb, node.js, postgresql, python"
IBM,Backend Developer,"java, python, redis"
Wipro,Data Analyst,"data visualization, excel, power bi, python, sql, tableau"
IBM,Qa Engineer,"api testing, jira, manual testing, postman, python, selenium"
Cognizant,Ai Engineer,"openai api, prompt engineering, rag"
TCS,Mlops Engineer,"airflow, aws, ci/cd, mlflow, python"
Infosys,Devops Engineer,"ansible, aws, ci/cd, kubernetes, terraform"
IBM,Product Manager,"agile, jira, roadmapping"
Accenture,Devops Engineer,"ansible, aws, ci/cd, kubernetes"
Infosys,Backend Developer,"django, docker, fastapi, postgresql, redis"
Wipro,Android Developer,"android sdk, firebase, java, jetpack compose, rest apis"
TCS,Devops Engineer,"ansible, ci/cd, docker, jenkins, kubernetes"
Accenture,Software Engineer,"c++, data structures, git, python, rest apis, system design"
Infosys,Frontend Developer,"figma, next.js, typescript"
Capgemini,Python Developer,"django, docker, fastapi, rest apis"
Cognizant,Technical Lead,"agile, aws, code review, system design, team leadership"
Wipro,Software Engineer,"algorithms, c++, java, python, system design"
Infosys,Java Developer,"hibernate, java, maven, rest apis"
Capgemini,Python Developer,"django, fastapi, postgresql, python, rest apis"
IBM,Android Developer,"firebase, java, rest apis"
Accenture,Devops Engineer,"ansible, aws, kubernetes"
Wipro,Business Analyst,"agile, excel, jira, power bi, sql"
TCS,Business Analyst,"excel, jira, power bi, requirements gathering, sql"
IBM,Python Developer,"aws, docker, fastapi, rest apis"
Infosys,Business Analyst,"agile, excel, jira, power bi"
Cognizant,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, siem"
Cognizant,Full Stack Developer,"aws, docker, mongodb, node.js, react"
Capgemini,React Developer,"html/css, javascript, redux, typescript"
Wipro,Frontend Developer,"figma, html/css, javascript, react, typescript"
Accenture,Technical Lead,"agile, system design, team leadership"
Wipro,Ios Developer,"core data, firebase, rest apis, swift, swiftui, xcode"
Wipro,Product Manager,"a/b testing, agile, jira, roadmapping, sql, user research"
Wipro,Data Engineer,"aws, dbt, python, sql"
Accenture,Data Analyst,"data visualization, excel, power bi, python, sql, statistics"
Cognizant,Software Engineer,"algorithms, c++, data structures, python, rest apis, system design"
Capgemini,Backend Developer,"java, python, redis"
Infosys,Cloud Engineer,"aws, azure, docker, gcp, kubernetes, linux"
Capgemini,Software Engineer,"algorithms, data structures, git, java, rest apis, system design"
TCS,Ios Developer,"core data, firebase, rest apis, swift, swiftui, xcode"
Cognizant,Ai Engineer,"llms, nlp, prompt engineering, rag, vector dbs"
TCS,Software Engineer,"data structures, git, java, system design"
Accenture,Frontend Developer,"figma, javascript, next.js, react, tailwind css, typescript"
IBM,Devops Engineer,"ansible, aws, ci/cd, jenkins, linux, terraform"
IBM,Devops Engineer,"aws, ci/cd, docker, jenkins, kubernetes, linux"
Cognizant,Data Scientist,"deep learning, python, scikit-learn, sql, statistics"
Infosys,Android Developer,"android sdk, firebase, java, kotlin, rest apis"
Wipro,Blockchain Developer,"ethereum, python, smart contracts, solidity, web3.js"
TCS,Devops Engineer,"ansible, jenkins, kubernetes"
Accenture,React Developer,"javascript, next.js, react"
Accenture,Frontend Developer,"figma, html/css, next.js, react, tailwind css, typescript"
Capgemini,Cloud Engineer,"aws, azure, docker, gcp, linux, terraform"
Infosys,Data Analyst,"data visualization, excel, power bi, sql, statistics, tableau"
Cognizant,Data Engineer,"airflow, etl, kafka, python, sql"
Capgemini,Android Developer,"android sdk, firebase, java, jetpack compose, rest apis"
Capgemini,Data Analyst,"data visualization, power bi, sql, tableau"
Capgemini,Technical Lead,"agile, microservices, system design, team leadership"
TCS,Technical Lead,"aws, code review, microservices, system design, team leadership"
Infosys,Power Bi Developer,"azure, data modeling, power bi"
Capgemini,Data Scientist,"python, scikit-learn, sql, tensorflow"
Infosys,Backend Developer,"docker, fastapi, mongodb, python"
Cognizant,Blockchain Developer,"ethereum, python, smart contracts, solidity, web3.js"
Infosys,Cloud Engineer,"docker, linux, terraform"
Accenture,Python Developer,"aws, fastapi, python, rest apis"
Capgemini,Full Stack Developer,"aws, docker, mongodb, node.js, postgresql, python"
IBM,Ios Developer,"core data, swift, swiftui"
Cognizant,Data Engineer,"aws, etl, kafka, python, spark, sql"
Cognizant,Backend Developer,"fastapi, mongodb, python"
Infosys,Engineering Manager,"agile, hiring, okrs, people management, roadmapping, system design"
Accenture,Java Developer,"hibernate, java, maven, microservices, rest apis, sql"
TCS,Software Engineer,"algorithms, c++, git, java, python, rest apis"
Wipro,Java Developer,"hibernate, maven, microservices, rest apis, spring boot"
IBM,Machine Learning Engineer,"kubernetes, scikit-learn, tensorflow"
Wipro,React Developer,"html/css, javascript, redux, typescript"
Wipro,Nlp Engineer,"llms, python, tensorflow, transformers"
IBM,Data Scientist,"deep learning, pandas, scikit-learn, statistics, tableau, tensorflow"
TCS,Devops Engineer,"ci/cd, docker, jenkins, kubernetes, linux"
Wipro,Data Scientist,"deep learning, pandas, python, sql, tableau, tensorflow"
Wipro,Node.Js Developer,"express.js, javascript, mongodb, node.js, rest apis"
Accenture,Backend Developer,"django, java, postgresql, python"
TCS,Devops Engineer,"aws, docker, jenkins, terraform"
Cognizant,Nlp Engineer,"bert, huggingface, python, spacy, tensorflow, transformers"
IBM,Backend Developer,"fastapi, java, mongodb, redis"
Wipro,Business Analyst,"excel, jira, power bi, requirements gathering, sql"
Infosys,Ai Engineer,"llms, rag, vector dbs"
Capgemini,Frontend Developer,"html/css, javascript, typescript"
Cognizant,React Developer,"html/css, javascript, next.js, react, redux, typescript"
Wipro,Software Engineer,"algorithms, data structures, java, python"
IBM,Ai Engineer,"langchain, llms, nlp, openai api, rag, vector dbs"
Wipro,Ui/Ux Designer,"adobe xd, figma, user research"
Capgemini,React Developer,"html/css, next.js, react, redux"
TCS,Node.Js Developer,"express.js, mongodb, rest apis"
Infosys,Backend Developer,"mongodb, node.js, postgresql"
Accenture,Engineering Manager,"agile, hiring, okrs, people management"
IBM,Software Engineer,"algorithms, python, rest apis"
Infosys,Data Scientist,"deep learning, nlp, scikit-learn, statistics, tableau"
Accenture,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, python, siem"
Wipro,Backend Developer,"java, mongodb, redis"
Capgemini,Node.Js Developer,"express.js, mongodb, node.js, rest apis"
Infosys,Mlops Engineer,"airflow, ci/cd, docker, kubernetes, mlflow, python"
Wipro,Data Engineer,"airflow, aws, dbt, kafka, python, spark"
Accenture,React Developer,"javascript, next.js, react, typescript"
TCS,Software Engineer,"algorithms, data structures, git, java, python"
Cognizant,Android Developer,"android sdk, firebase, kotlin, rest apis"
IBM,Python Developer,"aws, django, docker, fastapi, postgresql"
Cognizant,Ios Developer,"core data, firebase, swift, swiftui, xcode"
Wipro,Data Scientist,"deep learning, nlp, pandas, tensorflow"
TCS,Data Scientist,"machine learning, pandas, statistics"
Accenture,React Developer,"next.js, react, redux"
Accenture,Business Analyst,"agile, excel, jira, power bi, requirements gathering, sql"
Accenture,Nlp Engineer,"bert, llms, python, tensorflow, transformers"
TCS,Android Developer,"android sdk, firebase, jetpack compose, kotlin"
IBM,Python Developer,"aws, django, docker, fastapi, postgresql, rest apis"
Cognizant,Machine Learning Engineer,"aws, docker, kubernetes, python"
Wipro,Java Developer,"java, microservices, spring boot"
TCS,Devops Engineer,"aws, ci/cd, docker, jenkins, kubernetes, linux"
TCS,Backend Developer,"docker, fastapi, mongodb, postgresql, redis"
Capgemini,Node.Js Developer,"javascript, mongodb, node.js, rest apis"
IBM,Full Stack Developer,"postgresql, python, react, rest apis"
TCS,Power Bi Developer,"azure, data modeling, dax, etl, power bi"
TCS,Full Stack Developer,"docker, mongodb, python, react, rest apis"
Cognizant,Business Analyst,"excel, requirements gathering, sql"
Infosys,Cloud Engineer,"aws, docker, kubernetes, terraform"
Capgemini,Business Analyst,"agile, excel, jira, power bi, requirements gathering, sql"
Cognizant,Node.Js Developer,"mongodb, node.js, rest apis"
Capgemini,Data Analyst,"data visualization, excel, power bi, python, tableau"
Accenture,Data Engineer,"airflow, dbt, python"
Cognizant,Devops Engineer,"ansible, aws, docker, kubernetes, terraform"
Wipro,Computer Vision Engineer,"deep learning, opencv, python, pytorch, tensorflow, yolo"
Infosys,Machine Learning Engineer,"aws, docker, kubernetes, pytorch, scikit-learn, tensorflow"
Wipro,Backend Developer,"docker, java, node.js, postgresql, python, redis"
Wipro,Business Analyst,"agile, jira, sql"
Infosys,Data Analyst,"data visualization, power bi, python, sql, statistics"
Accenture,Machine Learning Engineer,"aws, kubernetes, tensorflow"
Wipro,Devops Engineer,"aws, ci/cd, docker, jenkins, linux"
TCS,Data Scientist,"pandas, statistics, tensorflow"
Wipro,Business Analyst,"agile, excel, jira, power bi"
Cognizant,Data Scientist,"scikit-learn, statistics, tableau"
IBM,Frontend Developer,"figma, html/css, javascript, next.js"
IBM,Backend Developer,"docker, fastapi, mongodb, postgresql, python, redis"
TCS,Android Developer,"android sdk, firebase, java, jetpack compose, kotlin, rest apis"
Wipro,Technical Lead,"agile, microservices, system design, team leadership"
Accenture,Devops Engineer,"ansible, aws, jenkins, terraform"
TCS,Mlops Engineer,"airflow, docker, kubernetes, mlflow, python"
Accenture,Full Stack Developer,"mongodb, node.js, postgresql"
Capgemini,Java Developer,"java, maven, microservices, rest apis, spring boot"
Wipro,Cloud Engineer,"aws, gcp, kubernetes"
Capgemini,Qa Engineer,"api testing, jira, manual testing, postman, python, selenium"
Wipro,Product Manager,"a/b testing, jira, product strategy, sql"
TCS,Data Scientist,"deep learning, pandas, tableau"
Infosys,Node.Js Developer,"express.js, javascript, mongodb, node.js, typescript"
Capgemini,Mlops Engineer,"airflow, aws, docker, kubernetes, mlflow"
Wipro,Data Scientist,"nlp, statistics, tensorflow"
Cognizant,Computer Vision Engineer,"deep learning, opencv, tensorflow"
Wipro,Java Developer,"hibernate, microservices, rest apis, spring boot, sql"
Accenture,Full Stack Developer,"aws, docker, mongodb, react"
Wipro,Data Scientist,"machine learning, nlp, pandas"
Capgemini,Ios Developer,"core data, firebase, swiftui, xcode"
TCS,Data Engineer,"dbt, kafka, sql"
Infosys,Data Engineer,"etl, kafka, python, spark, sql"
Capgemini,Software Engineer,"java, python, system design"
TCS,Python Developer,"django, postgresql, rest apis"
TCS,React Developer,"html/css, next.js, react, redux, typescript"
Wipro,Ios Developer,"core data, swift, swiftui, xcode"
Wipro,Ios Developer,"core data, firebase, rest apis, swift, swiftui"
Wipro,Frontend Developer,"figma, html/css, javascript, next.js, tailwind css"
Wipro,Data Scientist,"machine learning, nlp, python, statistics, tableau"
Wipro,Mlops Engineer,"docker, kubernetes, mlflow"
Cognizant,Devops Engineer,"ci/cd, docker, jenkins, kubernetes, linux, terraform"
TCS,Devops Engineer,"aws, ci/cd, docker, kubernetes"
Capgemini,Data Engineer,"dbt, etl, kafka, python, spark"
Wipro,Python Developer,"docker, fastapi, postgresql"
Infosys,Cloud Engineer,"gcp, kubernetes, terraform"
Capgemini,Software Engineer,"algorithms, data structures, python"
Accenture,Qa Engineer,"api testing, jira, manual testing, postman, python"
Capgemini,Data Scientist,"machine learning, nlp, pandas, sql, tableau"
Capgemini,Java Developer,"hibernate, maven, microservices, sql"
TCS,Data Scientist,"deep learning, machine learning, pandas, scikit-learn, statistics, tensorflow"
Accenture,Android Developer,"android sdk, firebase, java, jetpack compose, kotlin, rest apis"
Infosys,Mlops Engineer,"airflow, ci/cd, kubernetes"
Accenture,Engineering Manager,"agile, hiring, okrs, people management, roadmapping, system design"
TCS,Node.Js Developer,"express.js, node.js, rest apis"
Infosys,Python Developer,"docker, postgresql, rest apis"
Wipro,Machine Learning Engineer,"docker, kubernetes, scikit-learn, tensorflow"
Capgemini,Cloud Engineer,"azure, docker, gcp, kubernetes, linux, terraform"
IBM,Data Analyst,"data visualization, excel, power bi, python, sql, tableau"
IBM,Python Developer,"django, docker, rest apis"
Wipro,Java Developer,"hibernate, maven, microservices, rest apis, spring boot, sql"
Capgemini,Ui/Ux Designer,"adobe xd, figma, wireframing"
IBM,Node.Js Developer,"express.js, javascript, mongodb, node.js, rest apis, typescript"
Accenture,Software Engineer,"algorithms, c++, data structures, python"
Accenture,Java Developer,"hibernate, maven, spring boot, sql"
TCS,Full Stack Developer,"node.js, postgresql, react"
Infosys,Data Analyst,"data visualization, power bi, python, sql, statistics, tableau"
Capgemini,Cloud Engineer,"aws, azure, linux, terraform"
Wipro,Full Stack Developer,"aws, docker, mongodb, postgresql, react"
Capgemini,Backend Developer,"docker, fastapi, postgresql, python"
Wipro,Machine Learning Engineer,"aws, docker, kubernetes, mlops, python, tensorflow"
Capgemini,Data Analyst,"data visualization, excel, power bi, statistics, tableau"
Accenture,Nlp Engineer,"bert, huggingface, llms, python, transformers"
TCS,Machine Learning Engineer,"docker, kubernetes, mlops, python, scikit-learn"
Cognizant,Product Manager,"a/b testing, agile, sql, user research"
TCS,Data Scientist,"machine learning, python, scikit-learn, sql, tableau, tensorflow"
Accenture,Cloud Engineer,"azure, docker, gcp, kubernetes"
Capgemini,Full Stack Developer,"docker, mongodb, postgresql"
TCS,Data Scientist,"deep learning, pandas, sql"
Capgemini,Frontend Developer,"javascript, react, tailwind css, typescript"
Wipro,Java Developer,"maven, rest apis, sql"
Accenture,Backend Developer,"docker, java, postgresql"
TCS,Cloud Engineer,"aws, gcp, linux, terraform"
IBM,Backend Developer,"java, mongodb, python"
Cognizant,Python Developer,"aws, django, docker, postgresql, python, rest apis"
TCS,Machine Learning Engineer,"aws, docker, mlops, python, tensorflow"
Cognizant,Software Engineer,"algorithms, c++, data structures, java, system design"
Capgemini,Software Engineer,"data structures, python, system design"
IBM,Devops Engineer,"ansible, aws, ci/cd, docker, linux, terraform"
TCS,Backend Developer,"django, fastapi, mongodb, node.js, postgresql"
Capgemini,Full Stack Developer,"mongodb, node.js, react, rest apis"
Wipro,Software Engineer,"algorithms, c++, java, python, rest apis, system design"
Capgemini,Data Analyst,"data visualization, power bi, python"
Capgemini,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, python, siem"
Capgemini,Python Developer,"aws, postgresql, python"
Infosys,Ios Developer,"firebase, rest apis, swift, swiftui, xcode"
TCS,Devops Engineer,"ci/cd, jenkins, kubernetes, terraform"
TCS,Node.Js Developer,"express.js, javascript, mongodb, node.js, typescript"
Infosys,Data Analyst,"power bi, python, statistics"
Wipro,Devops Engineer,"ansible, aws, ci/cd, jenkins, kubernetes, terraform"
Cognizant,Data Analyst,"excel, power bi, statistics"
IBM,Full Stack Developer,"docker, mongodb, node.js, python, react, rest apis"
Wipro,Product Manager,"agile, jira, product strategy, roadmapping, sql, user research"
Capgemini,Qa Engineer,"api testing, manual testing, selenium"
IBM,Java Developer,"hibernate, maven, microservices, rest apis, sql"
Wipro,Data Scientist,"deep learning, machine learning, nlp, pandas, python, tableau"
Wipro,Node.Js Developer,"express.js, mongodb, rest apis, typescript"
Infosys,Data Analyst,"python, statistics, tableau"
IBM,Full Stack Developer,"aws, docker, mongodb, node.js, react, rest apis"
Capgemini,Data Scientist,"nlp, pandas, sql, tensorflow"
Accenture,Qa Engineer,"api testing, postman, selenium"
Capgemini,Ui/Ux Designer,"figma, prototyping, wireframing"
Wipro,Backend Developer,"django, fastapi, java, mongodb, node.js, postgresql"
Capgemini,Data Scientist,"nlp, scikit-learn, tableau, tensorflow"
Wipro,Business Analyst,"excel, power bi, requirements gathering, sql"
Cognizant,Ai Engineer,"langchain, llms, prompt engineering"
TCS,Mlops Engineer,"airflow, aws, ci/cd, docker, mlflow, python"
Cognizant,Ios Developer,"core data, firebase, rest apis, swift, swiftui, xcode"
IBM,Ui/Ux Designer,"adobe xd, css, figma, prototyping, user research, wireframing"
Cognizant,Data Analyst,"data visualization, excel, power bi, sql, statistics"
Wipro,Python Developer,"aws, django, fastapi, postgresql, rest apis"
Accenture,Data Analyst,"data visualization, excel, power bi, python, sql, tableau"
Infosys,Computer Vision Engineer,"deep learning, tensorflow, yolo"
IBM,Backend Developer,"django, java, node.js, postgresql, python"
Infosys,Mlops Engineer,"aws, kubernetes, python"
Cognizant,Python Developer,"aws, django, docker, python, rest apis"
Wipro,Product Manager,"a/b testing, agile, roadmapping, user research"
Infosys,Data Analyst,"power bi, sql, statistics"
Cognizant,Java Developer,"hibernate, java, microservices, rest apis, sql"
IBM,Ai Engineer,"langchain, llms, vector dbs"
Capgemini,Ai Engineer,"langchain, llms, openai api, prompt engineering, vector dbs"
Capgemini,Node.Js Developer,"express.js, javascript, rest apis, typescript"
Infosys,Full Stack Developer,"aws, python, react, rest apis"
Infosys,Backend Developer,"mongodb, node.js, postgresql, redis"
Cognizant,Java Developer,"hibernate, java, maven, spring boot"
Wipro,Python Developer,"aws, django, docker, postgresql, rest apis"
IBM,Engineering Manager,"agile, hiring, people management, roadmapping, system design"
Accenture,Data Analyst,"data visualization, power bi, python, statistics, tableau"
IBM,Technical Lead,"aws, microservices, system design"
Capgemini,Ai Engineer,"langchain, llms, nlp, python, vector dbs"
TCS,Software Engineer,"data structures, git, java, python, rest apis"
TCS,Qa Engineer,"api testing, jira, postman, python"
Accenture,Ios Developer,"swift, swiftui, xcode"
Cognizant,Business Analyst,"agile, jira, power bi, sql"
IBM,Java Developer,"java, maven, microservices, rest apis, spring boot, sql"
Wipro,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, python"
Cognizant,Backend Developer,"java, node.js, postgresql, python, redis"
Infosys,Data Analyst,"excel, power bi, python, sql, statistics"
TCS,Full Stack Developer,"aws, docker, react, rest apis"
Wipro,Full Stack Developer,"aws, docker, mongodb, postgresql, python, rest apis"
Infosys,Ai Engineer,"llms, openai api, prompt engineering"
Cognizant,Engineering Manager,"agile, hiring, okrs, people management, roadmapping, system design"
Capgemini,Backend Developer,"django, node.js, python, redis"
IBM,Power Bi Developer,"azure, data modeling, dax, etl, excel, power bi"
Cognizant,Power Bi Developer,"data modeling, dax, etl, excel, power bi, sql"
IBM,Engineering Manager,"agile, hiring, okrs, roadmapping, system design"
Capgemini,React Developer,"html/css, react, redux, typescript"
Cognizant,Android Developer,"android sdk, firebase, java, jetpack compose, kotlin, rest apis"
TCS,Node.Js Developer,"express.js, mongodb, node.js, rest apis"
IBM,Data Scientist,"python, scikit-learn, statistics, tensorflow"
Cognizant,Full Stack Developer,"aws, docker, react"
Infosys,Devops Engineer,"docker, jenkins, linux"
IBM,Cloud Engineer,"azure, docker, terraform"
Infosys,Frontend Developer,"html/css, javascript, next.js"
Wipro,Product Manager,"a/b testing, jira, product strategy, roadmapping, user research"
Infosys,Business Analyst,"agile, excel, jira, power bi, requirements gathering, sql"
Accenture,Ai Engineer,"langchain, llms, nlp, openai api, python"
IBM,Power Bi Developer,"azure, dax, excel, power bi, sql"
Capgemini,Python Developer,"aws, django, docker, postgresql, python, rest apis"
TCS,Power Bi Developer,"excel, power bi, sql"
Cognizant,Business Analyst,"agile, excel, jira, power bi, sql"
Capgemini,Business Analyst,"agile, excel, jira, requirements gathering"
IBM,Research Scientist,"deep learning, nlp, publications, python, statistics"
Accenture,Data Scientist,"nlp, scikit-learn, statistics, tableau"
Infosys,Qa Engineer,"api testing, jira, manual testing, postman, python"
Capgemini,Software Engineer,"algorithms, c++, data structures, git, python, rest apis"
TCS,Full Stack Developer,"aws, docker, python"
Wipro,Power Bi Developer,"azure, dax, excel, power bi"
Accenture,Business Analyst,"agile, jira, requirements gathering"
Accenture,Data Analyst,"excel, power bi, python, sql, statistics, tableau"
Cognizant,Power Bi Developer,"data modeling, dax, etl, excel"
Accenture,Backend Developer,"django, docker, mongodb, python, redis"
IBM,Blockchain Developer,"ethereum, python, smart contracts, solidity, web3.js"
Capgemini,Frontend Developer,"figma, javascript, next.js, react, tailwind css"
TCS,Ios Developer,"core data, rest apis, swift"
IBM,Software Engineer,"algorithms, c++, java, system design"
Infosys,Backend Developer,"java, mongodb, node.js, python, redis"
IBM,Frontend Developer,"figma, html/css, next.js, react, tailwind css, typescript"
Capgemini,Frontend Developer,"javascript, react, tailwind css"
Infosys,Data Scientist,"deep learning, python, sql, statistics"
Accenture,Computer Vision Engineer,"deep learning, pytorch, tensorflow"
TCS,Machine Learning Engineer,"aws, docker, kubernetes, python, scikit-learn, tensorflow"
Accenture,Data Analyst,"data visualization, excel, python, statistics, tableau"
Infosys,Python Developer,"fastapi, postgresql, rest apis"
Wipro,Business Analyst,"agile, power bi, requirements gathering"
TCS,Data Engineer,"dbt, etl, sql"
TCS,Ui/Ux Designer,"adobe xd, css, figma, prototyping, user research, wireframing"
Cognizant,Data Engineer,"airflow, dbt, etl, kafka, spark, sql"
IBM,Mlops Engineer,"airflow, aws, docker, kubernetes, mlflow, python"
IBM,Ui/Ux Designer,"css, figma, prototyping"
Accenture,Nlp Engineer,"bert, spacy, tensorflow"
IBM,Python Developer,"aws, django, postgresql, python, rest apis"
Accenture,Nlp Engineer,"huggingface, llms, python, spacy, tensorflow, transformers"
TCS,Java Developer,"java, microservices, rest apis, sql"
Cognizant,Research Scientist,"deep learning, nlp, publications, python, pytorch, statistics"
Capgemini,Python Developer,"docker, fastapi, python"
TCS,Node.Js Developer,"javascript, rest apis, typescript"
Infosys,Frontend Developer,"figma, javascript, next.js, react, tailwind css, typescript"
Wipro,Python Developer,"aws, django, postgresql, python, rest apis"
IBM,React Developer,"javascript, next.js, redux"
Wipro,Machine Learning Engineer,"mlops, python, pytorch, scikit-learn"
TCS,Ai Engineer,"llms, prompt engineering, python, rag, vector dbs"
TCS,Full Stack Developer,"aws, python, react"
IBM,Ios Developer,"core data, firebase, rest apis, swift, swiftui"
Infosys,Data Analyst,"data visualization, excel, python, sql, statistics, tableau"
Wipro,Cybersecurity Analyst,"network security, penetration testing, python"
Capgemini,Java Developer,"java, maven, rest apis"
TCS,Ios Developer,"core data, swift, swiftui"
TCS,Ui/Ux Designer,"adobe xd, css, prototyping, user research, wireframing"
Accenture,Data Scientist,"deep learning, machine learning, pandas, statistics, tableau"
Wipro,Devops Engineer,"aws, ci/cd, docker"
Wipro,Technical Lead,"agile, aws, code review, microservices, system design"
Capgemini,Qa Engineer,"api testing, jira, manual testing, postman, selenium"
Accenture,Product Manager,"a/b testing, jira, product strategy, roadmapping, sql, user research"
Accenture,Ui/Ux Designer,"adobe xd, css, prototyping, user research, wireframing"
Wipro,Backend Developer,"fastapi, java, mongodb, postgresql, redis"
TCS,Qa Engineer,"api testing, manual testing, selenium"
Wipro,React Developer,"html/css, next.js, react, redux, typescript"
Capgemini,Node.Js Developer,"express.js, javascript, mongodb, rest apis, typescript"
Cognizant,Frontend Developer,"figma, javascript, next.js, react, tailwind css, typescript"
Accenture,Frontend Developer,"javascript, next.js, tailwind css, typescript"
Wipro,Data Analyst,"python, sql, statistics"
Wipro,Data Analyst,"excel, power bi, python, sql, statistics"
Wipro,Backend Developer,"docker, fastapi, java, mongodb, node.js, redis"
