Company,Role,Skills
Accenture,Backend Developer,"fastapi, java, postgresql"
Accenture,Full Stack Developer,"aws, postgresql, python, rest apis"
TCS,Frontend Developer,"figma, javascript, react"
Infosys,Data Engineer,"airflow, aws, dbt, etl, spark, sql"
Wipro,Ai Engineer,"langchain, llms, python"
Accenture,Python Developer,"aws, docker, postgresql, python, rest apis"
Capgemini,Node.Js Developer,"javascript, mongodb, typescript"
Accenture,Data Analyst,"python, statistics, tableau"
TCS,Devops Engineer,"ansible, aws, docker, jenkins, linux, terraform"
IBM,Android Developer,"android sdk, firebase, java, jetpack compose, kotlin, rest apis"
Wipro,Frontend Developer,"figma, javascript, next.js, react, tailwind css, typescript"
Wipro,Business Analyst,"agile, excel, jira, power bi, requirements gathering, sql"
Wipro,Data Engineer,"aws, dbt, etl, kafka, spark, sql"
Wipro,Data Analyst,"power bi, python, sql, statistics"
Infosys,Data Analyst,"data visualization, excel, python, sql, tableau"
Cognizant,Technical Lead,"agile, aws, system design"
Infosys,Product Manager,"a/b testing, agile, jira, roadmapping, sql, user research"
Accenture,Data Scientist,"deep learning, machine learning, sql, statistics"
Cognizant,Technical Lead,"code review, microservices, team leadership"
Capgemini,Frontend Developer,"figma, html/css, next.js"
Wipro,Full Stack Developer,"aws, docker, mongodb"
Cognizant,Python Developer,"django, docker, fastapi, postgresql, python, rest apis"
Wipro,Devops Engineer,"ansible, aws, docker, jenkins, kubernetes, linux"
Infosys,Computer Vision Engineer,"deep learning, opencv, pytorch, tensorflow"
Cognizant,Data Engineer,"dbt, etl, kafka, python, spark, sql"
TCS,React Developer,"html/css, javascript, next.js, react, redux, typescript"
TCS,Devops Engineer,"ansible, jenkins, kubernetes, terraform"
Wipro,Full Stack Developer,"aws, mongodb, postgresql, react, rest apis"
Cognizant,Cybersecurity Analyst,"ethical hacking, python, siem"
TCS,Cybersecurity Analyst,"network security, penetration testing, python, siem"
TCS,Qa Engineer,"api testing, jira, manual testing, postman, python, selenium"
Capgemini,Business Analyst,"excel, requirements gathering, sql"
Accenture,Ai Engineer,"llms, python, vector dbs"
IBM,Node.Js Developer,"express.js, javascript, mongodb, node.js, rest apis"
Capgemini,Qa Engineer,"api testing, jira, manual testing, postman, python"
Infosys,Data Scientist,"machine learning, sql, statistics, tableau"
TCS,Engineering Manager,"agile, hiring, okrs"
IBM,Data Analyst,"python, sql, statistics, tableau"
TCS,Devops Engineer,"ansible, ci/cd, docker, jenkins, kubernetes, linux"
Infosys,Node.Js Developer,"express.js, javascript, rest apis"
IBM,Ios Developer,"firebase, rest apis, swift, swiftui, xcode"
Accenture,Data Scientist,"nlp, python, scikit-learn, statistics, tableau, tensorflow"
Capgemini,Cloud Engineer,"azure, docker, gcp, kubernetes"
Wipro,Business Analyst,"agile, excel, requirements gathering, sql"
Infosys,Android Developer,"android sdk, firebase, kotlin"
Infosys,Qa Engineer,"api testing, jira, postman, python, selenium"
Cognizant,Software Engineer,"algorithms, data structures, java, python, system design"
IBM,Cloud Engineer,"azure, docker, gcp, kubernetes, linux, terraform"
Wipro,Power Bi Developer,"azure, dax, etl, power bi, sql"
Infosys,Devops Engineer,"ansible, ci/cd, docker, jenkins, kubernetes, terraform"
Infosys,Machine Learning Engineer,"aws, docker, mlops, scikit-learn"
IBM,Nlp Engineer,"huggingface, spacy, tensorflow, transformers"
Accenture,Full Stack Developer,"aws, mongodb, postgresql, python, react, rest apis"
Infosys,React Developer,"next.js, react, redux, typescript"
Infosys,Business Analyst,"agile, excel, jira, requirements gathering, sql"
IBM,Qa Engineer,"api testing, manual testing, postman, python, selenium"
IBM,Business Analyst,"agile, power bi, requirements gathering, sql"
Wipro,Python Developer,"django, docker, fastapi, rest apis"
Cognizant,Software Engineer,"algorithms, data structures, git, java, python, system design"
Cognizant,Data Scientist,"deep learning, python, statistics"
IBM,Qa Engineer,"api testing, jira, selenium"
Capgemini,Engineering Manager,"agile, okrs, roadmapping, system design"
TCS,Devops Engineer,"aws, docker, jenkins, kubernetes, terraform"
Infosys,Python Developer,"aws, django, docker, postgresql, python, rest apis"
Accenture,Backend Developer,"django, docker, fastapi, java, node.js, redis"
Infosys,Ui/Ux Designer,"figma, prototyping, wireframing"
Wipro,Frontend Developer,"figma, html/css, javascript, react, tailwind css, typescript"
Cognizant,Product Manager,"a/b testing, agile, roadmapping, user research"
Accenture,Business Analyst,"agile, excel, power bi, requirements gathering, sql"
TCS,Software Engineer,"algorithms, c++, python, system design"
Infosys,Mlops Engineer,"aws, ci/cd, docker, python"
Infosys,Python Developer,"aws, django, fastapi, postgresql"
TCS,Full Stack Developer,"docker, python, react"
Accenture,Frontend Developer,"figma, html/css, javascript"
Accenture,Node.Js Developer,"express.js, node.js, rest apis, typescript"
Accenture,React Developer,"html/css, javascript, next.js, react, redux"
IBM,Node.Js Developer,"express.js, mongodb, node.js, rest apis, typescript"
TCS,Android Developer,"firebase, java, jetpack compose, kotlin, rest apis"
Capgemini,Software Engineer,"algorithms, c++, java, python, rest apis"
Accenture,Backend Developer,"docker, mongodb, node.js, python, redis"
IBM,Business Analyst,"agile, excel, jira, requirements gathering"
IBM,Cloud Engineer,"docker, gcp, terraform"
Wipro,React Developer,"javascript, next.js, typescript"
Accenture,Full Stack Developer,"mongodb, postgresql, react"
Wipro,Data Engineer,"airflow, dbt, etl, python, spark, sql"
Accenture,Ai Engineer,"langchain, nlp, prompt engineering"
Capgemini,Data Scientist,"deep learning, machine learning, nlp, pandas, tensorflow"
Cognizant,Ai Engineer,"llms, openai api, prompt engineering, python, vector dbs"
Capgemini,React Developer,"html/css, next.js, react, typescript"
Infosys,Ai Engineer,"llms, openai api, prompt engineering, python"
Capgemini,Backend Developer,"fastapi, node.js, python"
Capgemini,Backend Developer,"django, fastapi, java, node.js, python, redis"
Infosys,Frontend Developer,"html/css, next.js, react, tailwind css"
TCS,Backend Developer,"docker, postgresql, python"
Infosys,Java Developer,"microservices, spring boot, sql"
TCS,Ai Engineer,"langchain, prompt engineering, python, rag, vector dbs"
Cognizant,Technical Lead,"agile, microservices, system design, team leadership"
Wipro,Ai Engineer,"llms, nlp, python, vector dbs"
Infosys,Data Scientist,"deep learning, machine learning, pandas, scikit-learn, statistics, tensorflow"
Capgemini,Python Developer,"aws, django, docker, fastapi, postgresql, rest apis"
Cognizant,Power Bi Developer,"azure, dax, excel"
Infosys,Machine Learning Engineer,"docker, python, pytorch, scikit-learn, tensorflow"
Infosys,Software Engineer,"c++, data structures, git, java, python"
TCS,Java Developer,"hibernate, java, maven, rest apis, spring boot, sql"
TCS,Product Manager,"jira, product strategy, roadmapping"
IBM,React Developer,"html/css, javascript, next.js, react, redux, typescript"
Capgemini,Data Scientist,"machine learning, python, tensorflow"
Wipro,Data Engineer,"dbt, etl, kafka, sql"
Wipro,Data Scientist,"nlp, pandas, python, sql, statistics"
Infosys,Full Stack Developer,"aws, docker, python"
Wipro,Full Stack Developer,"aws, docker, mongodb, rest apis"
Wipro,Data Analyst,"data visualization, excel, power bi, python, sql, statistics"
TCS,Software Engineer,"data structures, python, rest apis"
Wipro,Ai Engineer,"langchain, llms, openai api, prompt engineering, vector dbs"
Accenture,Backend Developer,"fastapi, mongodb, node.js, postgresql, redis"
Accenture,Backend Developer,"fastapi, java, mongodb, node.js, python, redis"
TCS,Devops Engineer,"aws, ci/cd, docker, jenkins, kubernetes"
Cognizant,Data Scientist,"nlp, pandas, python, scikit-learn, statistics, tensorflow"
Capgemini,Cloud Engineer,"aws, gcp, linux"
Accenture,Technical Lead,"agile, aws, code review, microservices, team leadership"
Infosys,Data Analyst,"data visualization, python, sql, statistics, tableau"
Accenture,Frontend Developer,"javascript, react, typescript"
IBM,Data Analyst,"data visualization, excel, power bi, python"
Accenture,Data Analyst,"data visualization, excel, power bi, sql"
Capgemini,Nlp Engineer,"huggingface, python, tensorflow, transformers"
TCS,Product Manager,"a/b testing, agile, product strategy, roadmapping"
IBM,Ios Developer,"swift, swiftui, xcode"
IBM,Python Developer,"aws, django, docker, fastapi, python, rest apis"
Wipro,Data Scientist,"machine learning, pandas, python, statistics, tensorflow"
Capgemini,Qa Engineer,"jira, manual testing, postman, selenium"
Accenture,React Developer,"html/css, javascript, next.js, react, redux, typescript"
Infosys,Ui/Ux Designer,"adobe xd, css, figma, prototyping, user research, wireframing"
TCS,Software Engineer,"algorithms, c++, git, python, system design"
Capgemini,Data Scientist,"deep learning, machine learning, nlp, tableau"
IBM,Data Scientist,"machine learning, scikit-learn, sql, statistics, tableau, tensorflow"
Wipro,React Developer,"javascript, next.js, react, redux"
IBM,Nlp Engineer,"huggingface, llms, python, spacy, transformers"
TCS,Python Developer,"aws, django, docker, python, rest apis"
TCS,Computer Vision Engineer,"deep learning, opencv, python, pytorch, tensorflow, yolo"
Capgemini,Backend Developer,"django, postgresql, redis"
Capgemini,React Developer,"javascript, next.js, react, redux, typescript"
TCS,Java Developer,"hibernate, maven, spring boot"
Wipro,Technical Lead,"agile, code review, microservices, system design, team leadership"
Capgemini,Blockchain Developer,"python, smart contracts, solidity"
Capgemini,Cybersecurity Analyst,"ethical hacking, network security, python"
Infosys,Frontend Developer,"figma, html/css, typescript"
Cognizant,Qa Engineer,"api testing, manual testing, python, selenium"
Wipro,Frontend Developer,"figma, html/css, javascript, next.js, react, typescript"
Accenture,Node.Js Developer,"express.js, mongodb, node.js, rest apis, typescript"
Wipro,Python Developer,"docker, fastapi, postgresql, rest apis"
Infosys,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, python, siem"
Accenture,Java Developer,"hibernate, java, microservices, rest apis, spring boot, sql"
TCS,Software Engineer,"c++, java, python, rest apis, system design"
Infosys,Data Scientist,"pandas, python, scikit-learn, statistics, tableau"
IBM,Devops Engineer,"ansible, aws, docker, kubernetes"
Capgemini,Node.Js Developer,"javascript, rest apis, typescript"
Accenture,Nlp Engineer,"huggingface, llms, python, tensorflow, transformers"
Capgemini,Ui/Ux Designer,"adobe xd, figma, prototyping, user research"
IBM,Data Engineer,"airflow, aws, kafka, spark"
Wipro,Android Developer,"android sdk, firebase, jetpack compose, kotlin"
Accenture,Python Developer,"docker, fastapi, rest apis"
Cognizant,Ui/Ux Designer,"adobe xd, css, figma, prototyping, user research, wireframing"
Accenture,Android Developer,"android sdk, firebase, jetpack compose, kotlin"
Cognizant,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, python, siem"
Wipro,Engineering Manager,"hiring, okrs, people management, roadmapping, system design"
IBM,Software Engineer,"algorithms, c++, git, java, python, system design"
Cognizant,React Developer,"next.js, react, redux, typescript"
Wipro,Software Engineer,"algorithms, c++, data structures, git, rest apis, system design"
Infosys,Research Scientist,"deep learning, nlp, publications, pytorch, r, statistics"
Cognizant,Java Developer,"java, microservices, rest apis, spring boot, sql"
Wipro,Data Scientist,"machine learning, nlp, statistics, tableau"
Infosys,Data Analyst,"data visualization, power bi, sql"
Infosys,Machine Learning Engineer,"aws, docker, scikit-learn, tensorflow"
IBM,Java Developer,"hibernate, java, microservices, rest apis, spring boot"
Cognizant,Data Analyst,"data visualization, power bi, sql, tableau"
Wipro,Data Scientist,"deep learning, nlp, python, tableau, tensorflow"
Infosys,Java Developer,"hibernate, maven, microservices, spring boot"
Accenture,Ios Developer,"firebase, rest apis, swift"
TCS,Computer Vision Engineer,"deep learning, opencv, tensorflow"
TCS,Data Scientist,"nlp, python, scikit-learn, tableau, tensorflow"
TCS,Business Analyst,"agile, excel, jira, power bi, requirements gathering"
Infosys,Devops Engineer,"ci/cd, linux, terraform"
TCS,Research Scientist,"deep learning, publications, python, pytorch, statistics"
Wipro,Backend Developer,"docker, fastapi, mongodb, redis"
Wipro,Android Developer,"android sdk, firebase, java, jetpack compose, kotlin, rest apis"
Infosys,Backend Developer,"fastapi, mongodb, node.js, postgresql"
IBM,Frontend Developer,"figma, html/css, next.js, tailwind css"
Capgemini,Android Developer,"android sdk, java, jetpack compose, kotlin"
Accenture,Power Bi Developer,"dax, etl, excel, power bi, sql"
TCS,Business Analyst,"excel, jira, requirements gathering"
Wipro,Ai Engineer,"langchain, llms, nlp, openai api, python, vector dbs"
Cognizant,Software Engineer,"algorithms, c++, java, python"
Accenture,Devops Engineer,"aws, docker, jenkins, kubernetes"
Cognizant,Cybersecurity Analyst,"ethical hacking, penetration testing, python"
Cognizant,Business Analyst,"agile, excel, sql"
Accenture,Devops Engineer,"aws, ci/cd, docker"
Infosys,Software Engineer,"data structures, python, rest apis"
TCS,Ai Engineer,"prompt engineering, python, vector dbs"
TCS,Ai Engineer,"langchain, openai api, vector dbs"
IBM,Data Engineer,"airflow, aws, kafka, sql"
Infosys,React Developer,"html/css, redux, typescript"
IBM,Software Engineer,"python, rest apis, system design"
TCS,Computer Vision Engineer,"opencv, python, yolo"
TCS,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, siem"
Accenture,Software Engineer,"c++, data structures, python, rest apis"
Capgemini,Python Developer,"docker, fastapi, postgresql, python, rest apis"
Cognizant,Business Analyst,"agile, excel, jira, power bi, requirements gathering, sql"
Capgemini,Frontend Developer,"html/css, javascript, next.js, react, tailwind css"
Accenture,Product Manager,"product strategy, sql, user research"
Capgemini,Nlp Engineer,"llms, spacy, tensorflow, transformers"
Wipro,Frontend Developer,"figma, html/css, next.js, react, tailwind css, typescript"
Cognizant,Ios Developer,"core data, rest apis, swift, swiftui, xcode"
Capgemini,Data Engineer,"airflow, aws, dbt, spark"
Infosys,Computer Vision Engineer,"deep learning, python, pytorch, tensorflow, yolo"
TCS,Python Developer,"django, fastapi, python"
Wipro,Research Scientist,"deep learning, nlp, statistics"
Cognizant,Research Scientist,"deep learning, nlp, publications, python, pytorch, r"
TCS,Backend Developer,"django, mongodb, node.js, postgresql, python"
TCS,Cloud Engineer,"aws, azure, gcp, linux, terraform"
Wipro,Backend Developer,"django, docker, mongodb, node.js, postgresql"
Capgemini,Ios Developer,"rest apis, swift, xcode"
Infosys,Mlops Engineer,"docker, kubernetes, python"
IBM,Data Scientist,"nlp, sql, tableau, tensorflow"
TCS,Engineering Manager,"agile, okrs, people management, system design"
Cognizant,Java Developer,"hibernate, maven, microservices, rest apis, spring boot, sql"
Capgemini,Frontend Developer,"figma, html/css, tailwind css"
TCS,Data Analyst,"power bi, sql, statistics"
Wipro,Ai Engineer,"llms, openai api, prompt engineering"
Accenture,Backend Developer,"docker, fastapi, mongodb, python, redis"
TCS,Python Developer,"aws, django, docker, postgresql, python, rest apis"
TCS,Python Developer,"django, docker, fastapi, python"
Cognizant,React Developer,"html/css, javascript, redux, typescript"
IBM,Android Developer,"firebase, java, jetpack compose, kotlin, rest apis"
Cognizant,Machine Learning Engineer,"docker, python, pytorch"
Capgemini,Node.Js Developer,"javascript, mongodb, rest apis"
Cognizant,Nlp Engineer,"bert, llms, python, spacy, tensorflow, transformers"
Capgemini,Node.Js Developer,"javascript, mongodb, node.js, typescript"
Cognizant,Backend Developer,"fastapi, node.js, python"
Wipro,Java Developer,"hibernate, java, microservices, rest apis, sql"
TCS,Data Scientist,"nlp, pandas, python, tableau, tensorflow"
Cognizant,Machine Learning Engineer,"python, pytorch, tensorflow"
TCS,Software Engineer,"algorithms, data structures, git, java, python, rest apis"
TCS,Machine Learning Engineer,"aws, docker, mlops"
Wipro,Frontend Developer,"figma, html/css, typescript"
IBM,Ai Engineer,"llms, prompt engineering, vector dbs"
Capgemini,Ai Engineer,"langchain, nlp, vector dbs"
Accenture,Python Developer,"aws, django, postgresql, rest apis"
Wipro,Software Engineer,"algorithms, git, java, rest apis"
Infosys,Machine Learning Engineer,"aws, python, pytorch, tensorflow"
Wipro,Python Developer,"aws, fastapi, rest apis"
TCS,React Developer,"html/css, javascript, next.js, react, typescript"
Capgemini,Data Analyst,"data visualization, power bi, tableau"
TCS,Power Bi Developer,"azure, data modeling, dax, excel, sql"
Infosys,Data Analyst,"data visualization, power bi, python, tableau"
TCS,Software Engineer,"git, python, rest apis"
Wipro,Frontend Developer,"figma, react, tailwind css, typescript"
Wipro,Android Developer,"android sdk, jetpack compose, kotlin, rest apis"
Accenture,Data Engineer,"airflow, aws, sql"
Infosys,Cloud Engineer,"aws, azure, docker, gcp, linux, terraform"
TCS,Backend Developer,"docker, python, redis"
Accenture,React Developer,"next.js, react, typescript"
Wipro,Data Analyst,"power bi, sql, statistics"
Capgemini,Node.Js Developer,"express.js, javascript, mongodb, node.js, rest apis, typescript"
Wipro,Full Stack Developer,"aws, docker, mongodb, postgresql, python, react"
Capgemini,Frontend Developer,"next.js, tailwind css, typescript"
Wipro,Ui/Ux Designer,"adobe xd, css, figma, prototyping, wireframing"
IBM,Cloud Engineer,"aws, docker, gcp, linux, terraform"
Infosys,Product Manager,"agile, roadmapping, sql, user research"
Capgemini,Software Engineer,"data structures, java, python, rest apis"
Wipro,Backend Developer,"django, fastapi, node.js, python, redis"
Wipro,Software Engineer,"data structures, git, java, rest apis, system design"
Capgemini,Python Developer,"aws, django, docker, postgresql, rest apis"
Infosys,Product Manager,"a/b testing, agile, jira, product strategy, roadmapping, user research"
IBM,Devops Engineer,"jenkins, kubernetes, terraform"
Accenture,Devops Engineer,"ansible, aws, ci/cd, kubernetes, linux, terraform"
Infosys,Node.Js Developer,"express.js, javascript, mongodb, rest apis"
Wipro,Data Analyst,"excel, python, statistics"
Capgemini,Backend Developer,"django, docker, fastapi, node.js, python, redis"
Capgemini,Java Developer,"hibernate, java, maven, microservices, spring boot, sql"
IBM,Software Engineer,"algorithms, c++, java, python, rest apis, system design"
Cognizant,Java Developer,"maven, rest apis, spring boot"
TCS,Devops Engineer,"ansible, docker, jenkins, linux"
IBM,Cybersecurity Analyst,"ethical hacking, penetration testing, siem"
TCS,Power Bi Developer,"data modeling, excel, sql"
Wipro,Android Developer,"android sdk, firebase, java, rest apis"
Accenture,Frontend Developer,"html/css, next.js, react, tailwind css"
Wipro,Data Engineer,"aws, dbt, kafka, python"
Wipro,Java Developer,"hibernate, java, maven, microservices, rest apis, sql"
Cognizant,Backend Developer,"django, fastapi, node.js, redis"
Infosys,Software Engineer,"c++, git, java, python, rest apis, system design"
TCS,Ai Engineer,"langchain, prompt engineering, rag, vector dbs"
Wipro,Cloud Engineer,"docker, gcp, kubernetes, linux"
Capgemini,Data Scientist,"deep learning, machine learning, nlp, scikit-learn, statistics, tensorflow"
Cognizant,Data Engineer,"airflow, kafka, spark"
Wipro,Full Stack Developer,"docker, node.js, postgresql, react"
Cognizant,Full Stack Developer,"docker, mongodb, postgresql, python"
Accenture,Nlp Engineer,"bert, huggingface, llms, tensorflow, transformers"
IBM,Backend Developer,"django, fastapi, node.js, redis"
TCS,Data Analyst,"data visualization, python, sql, tableau"
Capgemini,Data Engineer,"airflow, aws, etl, python, spark, sql"
Capgemini,Software Engineer,"algorithms, c++, data structures, java, python, system design"
Cognizant,Android Developer,"android sdk, java, jetpack compose, kotlin, rest apis"
IBM,Mlops Engineer,"aws, ci/cd, kubernetes, python"
Accenture,Data Analyst,"data visualization, excel, sql, tableau"
Infosys,Android Developer,"android sdk, java, jetpack compose, kotlin, rest apis"
IBM,Engineering Manager,"hiring, okrs, roadmapping, system design"
Cognizant,Technical Lead,"agile, aws, code review, microservices, team leadership"
IBM,Computer Vision Engineer,"deep learning, opencv, tensorflow"
Capgemini,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, siem"
Wipro,Data Analyst,"data visualization, excel, power bi, sql, statistics, tableau"
IBM,Python Developer,"django, docker, fastapi"
TCS,Engineering Manager,"agile, hiring, okrs, people management, roadmapping, system design"
Capgemini,Frontend Developer,"figma, html/css, javascript, react, tailwind css, typescript"
Accenture,Node.Js Developer,"javascript, node.js, typescript"
IBM,Data Scientist,"machine learning, nlp, scikit-learn, sql"
Accenture,Machine Learning Engineer,"aws, kubernetes, mlops, python, pytorch, scikit-learn"
IBM,Data Engineer,"airflow, dbt, spark, sql"
Wipro,Cloud Engineer,"aws, docker, linux, terraform"
TCS,Java Developer,"hibernate, java, rest apis, spring boot"
TCS,Frontend Developer,"html/css, next.js, tailwind css"
IBM,Java Developer,"hibernate, maven, microservices, rest apis, spring boot, sql"
Wipro,Java Developer,"hibernate, java, maven, rest apis, sql"
Cognizant,Machine Learning Engineer,"kubernetes, mlops, python, tensorflow"
IBM,Research Scientist,"nlp, publications, python, pytorch"
Accenture,Full Stack Developer,"aws, postgresql, python, react, rest apis"
Capgemini,Java Developer,"java, maven, microservices, spring boot, sql"
Accenture,Node.Js Developer,"javascript, mongodb, node.js"
Accenture,Devops Engineer,"aws, jenkins, terraform"
Capgemini,Business Analyst,"excel, jira, requirements gathering"
Capgemini,Java Developer,"hibernate, maven, microservices, rest apis, spring boot, sql"
TCS,Node.Js Developer,"express.js, javascript, mongodb, node.js, rest apis, typescript"
Cognizant,Software Engineer,"algorithms, git, java, system design"
Cognizant,Business Analyst,"jira, power bi, requirements gathering, sql"
TCS,Data Scientist,"deep learning, nlp, pandas, statistics"
Cognizant,Business Analyst,"agile, power bi, requirements gathering"
IBM,Devops Engineer,"ansible, aws, ci/cd, docker, jenkins, kubernetes"
Cognizant,Data Analyst,"data visualization, excel, python, sql, statistics, tableau"
Cognizant,Mlops Engineer,"airflow, aws, docker, kubernetes, mlflow, python"
Wipro,Product Manager,"agile, jira, roadmapping, user research"
Wipro,Python Developer,"aws, docker, fastapi"
Capgemini,Python Developer,"aws, django, fastapi, postgresql, python"
IBM,Backend Developer,"django, docker, fastapi, java, mongodb, postgresql"
Accenture,Product Manager,"a/b testing, agile, jira, product strategy, roadmapping"
IBM,Ui/Ux Designer,"adobe xd, prototyping, wireframing"
Accenture,Java Developer,"hibernate, java, microservices, sql"
Cognizant,Computer Vision Engineer,"deep learning, python, pytorch, tensorflow, yolo"
Capgemini,Ui/Ux Designer,"css, figma, prototyping, user research, wireframing"
IBM,Backend Developer,"django, fastapi, java, node.js"
IBM,Cybersecurity Analyst,"ethical hacking, network security, penetration testing, siem"
TCS,Research Scientist,"deep learning, nlp, publications, python, statistics"
Capgemini,Qa Engineer,"jira, manual testing, postman, python"
TCS,Ai Engineer,"langchain, nlp, openai api, prompt engineering, python"
Cognizant,Product Manager,"a/b testing, agile, product strategy, sql, user research"
Cognizant,Data Engineer,"airflow, aws, python, sql"
Infosys,Android Developer,"firebase, java, kotlin"
IBM,Machine Learning Engineer,"docker, kubernetes, python, pytorch, scikit-learn"
TCS,Full Stack Developer,"aws, postgresql, react"
Infosys,Mlops Engineer,"aws, ci/cd, docker, kubernetes, mlflow"
Infosys,Software Engineer,"algorithms, data structures, python"
Cognizant,Mlops Engineer,"airflow, ci/cd, docker, kubernetes, mlflow, python"
Cognizant,Product Manager,"agile, jira, product strategy, roadmapping, user research"
IBM,Full Stack Developer,"aws, mongodb, rest apis"
TCS,Python Developer,"aws, django, fastapi, python, rest apis"
Cognizant,Power Bi Developer,"azure, data modeling, excel, power bi, sql"
IBM,Product Manager,"a/b testing, jira, roadmapping, sql, user research"
IBM,Devops Engineer,"aws, ci/cd, jenkins, kubernetes, linux"
Capgemini,Software Engineer,"c++, git, java, system design"
TCS,Data Scientist,"machine learning, statistics, tableau"
Capgemini,Devops Engineer,"ansible, ci/cd, jenkins, kubernetes, linux, terraform"
Accenture,Blockchain Developer,"ethereum, smart contracts, solidity, web3.js"
Infosys,Backend Developer,"docker, mongodb, redis"
Accenture,Machine Learning Engineer,"mlops, python, scikit-learn"
Accenture,Business Analyst,"agile, excel, power bi"
Accenture,Software Engineer,"algorithms, git, java, python, rest apis, system design"
Wipro,Python Developer,"aws, docker, fastapi, postgresql"
IBM,Devops Engineer,"ansible, ci/cd, docker, jenkins, kubernetes"
Wipro,Full Stack Developer,"aws, docker, postgresql, python, react, rest apis"
Cognizant,Devops Engineer,"aws, ci/cd, docker, jenkins, kubernetes"
Cognizant,Ios Developer,"core data, firebase, rest apis, swift, swiftui"
Accenture,Cybersecurity Analyst,"ethical hacking, network security, python"
Infosys,Data Analyst,"data visualization, excel, sql, statistics"
Accenture,Android Developer,"firebase, java, kotlin, rest apis"
Cognizant,Java Developer,"hibernate, maven, microservices, rest apis, spring boot"
IBM,Data Engineer,"airflow, aws, dbt, etl, kafka, spark"
Capgemini,Ui/Ux Designer,"adobe xd, css, figma, user research, wireframing"
Capgemini,Full Stack Developer,"aws, mongodb, node.js, postgresql, python, rest apis"
Infosys,Ui/Ux Designer,"adobe xd, prototyping, user research, wireframing"
TCS,Cloud Engineer,"aws, azure, docker, kubernetes, linux, terraform"
TCS,Data Scientist,"scikit-learn, statistics, tensorflow"
